[00:01.440 --> 00:02.000]  Hi.
[00:03.900 --> 00:06.660]  Reliable Controls Technical Support speaking.
[00:08.460 --> 00:09.600]  Hey, is this Philip again?
[00:14.400 --> 00:16.380]  Can't hardly hear you, give me a sec.
[00:18.580 --> 00:19.160]  Alright, hello?
[00:20.000 --> 00:20.840]  Yep, it's Liam.
[00:23.580 --> 00:29.980]  Liam, oh, okay. I was talking to a Philip previously, is there
[00:30.640 --> 00:31.880]  anything we can do?
[00:33.380 --> 00:36.880]  I can find the ticket here.
[00:37.080 --> 00:38.080]  You're calling from a different number?
[00:47.760 --> 00:49.540]  I don't know if he made a ticket.
[00:49.680 --> 00:52.100]  I was just on the phone with him like fifteen minutes ago.
[00:52.680 --> 00:55.240]  Yeah, whenever you do a call, it automatically creates a ticket.
[00:56.360 --> 00:57.660]  Which is what's kind of weird.
[00:59.140 --> 01:01.660]  Not coming up with anything else.
[01:12.170 --> 01:13.730]  I think I know what he did.
[01:16.070 --> 01:19.810]  Probably was like, oh yeah, who are you? And then assigned the ticket to that
[01:19.810 --> 01:23.370]  without matching the phone number. I can probably fix that.
[01:32.620 --> 01:35.980]  Devices lost as soon as mock pro com is scanned in.
[01:36.060 --> 01:39.560]  Is that the one? Yep.
[01:48.360 --> 01:49.900]  Oh, he's on another call.
[01:55.580 --> 01:58.320]  Well, that's alright. If you want to know who to give me a call back,
[01:59.780 --> 02:00.200]  well...
[02:01.360 --> 02:03.900]  First I'm just going to merge users. There we go.
[02:16.930 --> 02:18.530]  All devices seem to go missing
[02:18.530 --> 02:19.950]  when the pro com is brought online.
[02:21.330 --> 02:23.070]  When you say all devices go missing,
[02:26.110 --> 02:28.630]  is the pro com the MSCP host?
[02:29.250 --> 02:31.930]  Or is it a device that happens to be on the MSCP?
[02:34.630 --> 02:37.510]  It is the end of line. It is supposed to be the host.
[02:39.690 --> 02:46.560]  Previously it functioned as...
[02:46.560 --> 02:48.900]  Functioned as...
[02:53.460 --> 02:56.740]  Oh, the network host. For these particular
[02:56.740 --> 03:00.240]  MSCP lines. But it's not the network host anymore?
[03:04.200 --> 03:06.940]  It's not acting like it. What happens is
[03:08.560 --> 03:11.320]  most things on the floor are talking to each other
[03:11.320 --> 03:15.440]  right now. And we are currently direct connected
[03:15.440 --> 03:19.280]  into a handful of pro zones that sit physically
[03:19.280 --> 03:23.700]  right next to the pro com. And from those pro zones we've been doing work
[03:23.700 --> 03:27.460]  on the rest of the network. The moment I
[03:27.460 --> 03:31.220]  plug in the network to the pro com,
[03:32.200 --> 03:34.620]  either the MSCP ports for the pro com,
[03:36.680 --> 03:39.500]  the status light stops flashing as if it's not
[03:39.500 --> 03:43.440]  talking to anything. And we can't see anything over the direct connect
[03:43.440 --> 03:47.440]  from the pro. So right now you don't have any host. You're just doing the export to the
[03:47.440 --> 03:50.580]  connect in. Okay. Or direct connect to like a pro 2 or something.
[03:52.160 --> 03:55.000]  I think it's coming in on local MSCP.
[03:55.740 --> 03:59.260]  So there's only a couple of things that I can think of that would have that drastic
[03:59.260 --> 04:03.480]  of a change to the network. One of them is
[04:03.480 --> 04:07.180]  if the polarity to the power of the pro com
[04:07.180 --> 04:11.000]  is inverted. So relative to everyone else,
[04:11.960 --> 04:15.160]  it's very, very wrong, right? Even if it's right
[04:15.160 --> 04:17.540]  next to the controllers, you can have that polarity clip.
[04:20.740 --> 04:23.680]  Even the polarity going to the
[04:23.680 --> 04:27.300]  pro com itself, I find what often happens
[04:27.300 --> 04:31.180]  at least has happened to me, some of our devices... Okay, how do I explain this?
[04:36.180 --> 04:37.680]  On our devices,
[04:38.080 --> 04:39.040]  some of our devices,
[04:40.260 --> 04:43.940]  which port is the minus and plus, the A minus, B plus, right?
[04:43.940 --> 04:46.540]  Which one is minus, which one is B plus on the port
[04:47.360 --> 04:51.200]  is vertically aligned. So
[04:51.200 --> 04:54.460]  that means that if you have a port on the right hand side,
[04:55.360 --> 04:59.460]  it is mirrored from one on the left hand side. And some of our devices
[04:59.460 --> 05:03.460]  just happen to be like that. And I found that sometimes I will take a
[05:04.560 --> 05:07.900]  connection, assume based on the label that that's the polarity
[05:07.900 --> 05:09.920]  of the MSTP.
[05:11.520 --> 05:15.740]  But then I actually follow the cable and go, oh, no, it's just the label's
[05:15.740 --> 05:19.780]  wrong. I don't know if you've confirmed that part, but that's
[05:19.780 --> 05:21.000]  what has gotten me before.
[05:24.140 --> 05:27.620]  Interesting. Well, the context for this particular
[05:27.620 --> 05:30.060]  issue is that
[05:31.260 --> 05:35.640]  this procom was functioning previously. It seemed up until the point
[05:35.640 --> 05:38.660]  that we added these flexors in the middle of this network.
[05:42.120 --> 05:43.700]  And the difficulty
[05:43.700 --> 05:47.460]  is arising from the fact that the procom can see
[05:47.460 --> 05:51.940]  some units if they're completely isolated. But then
[05:51.940 --> 05:55.840]  all the rest of the units can talk to the flexors, no problem when the procom is out of the picture.
[05:57.960 --> 06:00.380]  I could try checking the polarity,
[06:00.500 --> 06:03.940]  but my guess is that if I were to do that, then
[06:03.940 --> 06:06.200]  it's because it was working previously.
[06:07.180 --> 06:10.680]  Okay, so the part I was missing was the adding the flexors.
[06:12.440 --> 06:14.200]  Do you know the firmware version of those flexors?
[06:17.200 --> 06:20.060]  1.5.3, or I can check
[06:20.060 --> 06:22.040]  real quick. It's either 2 or 3.
[06:25.000 --> 06:26.140]  Probably 3, yeah.
[06:26.640 --> 06:29.280]  Do you know how many devices total on this network?
[06:34.160 --> 06:34.560]  Currently
[06:35.000 --> 06:38.260]  34, there's meant to be 39, but there are five
[06:38.260 --> 06:41.680]  on the very end that I can't put on without having the same issue as the procom.
[06:42.160 --> 06:46.120]  Good stuff, stop talking. Okay, what the hell happened? Oh, I got plugged
[06:46.120 --> 06:47.900]  in at the procom. That's funny.
[06:53.710 --> 06:54.310]  I'm
[06:54.310 --> 06:57.970]  going to maintain that these things are on 1.5.3.
[06:58.350 --> 07:01.790]  The procom itself is running the newest firmware available.
[07:03.610 --> 07:04.670]  Yeah, that sounds about right.
[07:04.970 --> 07:06.090]  That sounds correct.
[07:10.450 --> 07:10.770]  Alright.
[07:15.230 --> 07:16.030]  Let's see.
[07:16.030 --> 07:20.090]  The vast majority of the
[07:20.090 --> 07:23.210]  old pro airs on this network are running
[07:23.210 --> 07:27.570]  7.26 or 7.28. The two pro zones are running
[07:27.570 --> 07:28.830]  7.48.
[07:33.450 --> 07:35.830]  It may be worth it to update the
[07:35.830 --> 07:39.350]  seven pro airs to the latest firmware
[07:39.750 --> 07:42.650]  back into controllers and then update them type thing.
[07:42.650 --> 07:45.290]  But we don't have to worry about that at the moment.
[07:46.690 --> 07:50.610]  The only issue that I can think of that might be related to the flex airs
[07:50.610 --> 07:54.530]  being added on would have to do with the requests and how token passing
[07:54.530 --> 07:55.330]  works.
[07:59.610 --> 08:02.590]  So, when they were added, they were
[08:02.590 --> 08:06.390]  already programmed, right? So they could start doing requests immediately.
[08:08.190 --> 08:10.510]  Is that about right? I don't think they were
[08:10.510 --> 08:14.270]  actually. The issues kind of started as I
[08:14.270 --> 08:18.310]  didn't, not uploading programs at that point, but uploading the
[08:18.310 --> 08:20.130]  MAC addresses and the device instances.
[08:23.110 --> 08:26.590]  Interesting. So after you configure the MAC addresses, yeah.
[08:27.270 --> 08:30.710]  If there's any conflicts with
[08:30.710 --> 08:32.190]  things on the network,
