[00:00.000 --> 00:00.740]  Hello.
[00:01.940 --> 00:03.720]  Hey, this is Liam from Label Controls.
[00:04.180 --> 00:05.000]  Liam, how's it going?
[00:05.960 --> 00:07.780]  It's going good. Sorry I missed your call.
[00:08.820 --> 00:10.960]  I figured I'd got you guys before you're open.
[00:11.220 --> 00:13.100]  I know we're on different time zones.
[00:16.500 --> 00:20.700]  But I am over here at Hardee County,
[00:21.840 --> 00:27.080]  where we got a jail and stuff like that out here in Machuma, Florida.
[00:28.720 --> 00:31.120]  And obviously they don't have nothing online.
[00:31.120 --> 00:32.720]  We're using the Mach Pro website.
[00:33.620 --> 00:33.860]  Yeah.
[00:35.240 --> 00:38.640]  And they, you know, no problems at the jail building,
[00:38.740 --> 00:40.820]  but then over at the convention center all of a sudden.
[00:41.320 --> 00:47.120]  Now, the controller, when they plug into it,
[00:47.240 --> 00:50.320]  I've got the IP scheme the same as those buildings,
[00:50.400 --> 00:52.560]  so they can just plug in and put one IP address in.
[00:53.260 --> 00:53.640]  Yeah.
[00:54.260 --> 00:55.900]  It is not connecting.
[00:55.900 --> 00:59.020]  And then when I like do ping, when I try to ping the controller,
[00:59.100 --> 01:00.740]  when I'm plugged into it,
[01:01.320 --> 01:07.580]  it's showing that it's still reverted back to the old 200 IP address,
[01:07.740 --> 01:11.940]  and it's like it's stuck at that old IP address or something.
[01:12.100 --> 01:15.720]  It won't come out of it, even though I've changed it.
[01:17.320 --> 01:21.400]  So I don't know if the IP port went bad on it.
[01:21.400 --> 01:24.600]  Because, I mean, I just, while I was out here today,
[01:24.960 --> 01:26.860]  I was only one version behind,
[01:27.600 --> 01:32.060]  so I put the newest version driver in just to see if there was anything to help with that,
[01:32.080 --> 01:36.720]  because I think the last version had updates for the web system and stuff like that.
[01:38.180 --> 01:38.660]  Yeah.
[01:43.150 --> 01:46.210]  But I just don't, I'm kind of at a loss now.
[01:47.770 --> 01:54.610]  The behavior is talking about where it doesn't seem to like take the connection settings.
[01:56.650 --> 01:57.230]  Yeah.
[01:58.810 --> 02:01.330]  That seems very strange.
[02:02.710 --> 02:11.810]  The only thing I could really think of is if you happen to log in with a user password type thing with very low security level, maybe.
[02:12.790 --> 02:14.370]  Aside from that...
[02:14.370 --> 02:18.890]  Well, I wonder, like, when they plug their laptop in to DirectTech,
[02:19.030 --> 02:23.210]  because obviously we did the website, so we got graphics and all that stuff and all they see,
[02:23.510 --> 02:25.270]  it won't even pull up the web page.
[02:25.930 --> 02:29.650]  Yeah. When you say direct, we're not talking with serial, right?
[02:29.710 --> 02:32.710]  We're talking ethernet cable from laptop right into the ethernet port.
[02:33.150 --> 02:33.430]  Yeah.
[02:35.810 --> 02:38.170]  Do you have FireShark on your computer?
[02:39.290 --> 02:40.270]  I do not.
[02:40.990 --> 02:50.410]  Okay. What I would recommend doing, so like get on a hotspot on your phone, install FireShark, run it on your ethernet port, and then connect it.
[02:50.630 --> 02:52.790]  Parasite the controller. Let's see what happens.
[02:53.610 --> 03:03.170]  The only problem is with my laptop I have, I cannot download any software on it because of how our company is. They have us all blocked.
[03:05.150 --> 03:07.090]  Oh, fantastic. All right.
[03:07.090 --> 03:11.230]  Yeah, that's the wonderful working for a big corporation.
[03:12.410 --> 03:12.590]  Yeah.
[03:13.690 --> 03:19.530]  But I did notice something. I went back to the other site. I'm going to try this real quick. It may fix the problem.
[03:19.890 --> 03:26.410]  I don't know, because I noticed at the other site, I had IP, subnet, and the default gateway.
